"playlistName","numFollowers","numSongs","avgPopularity","avgSongLen","maxSongLen","minSongLen"
37i9dQZF1DZ06evO1z5pjq,65794,42,54.666666666666664,189021.04761904763,272000.0,105068.0
37i9dQZF1DX2WkIBRaChxW,282217,65,61.50769230769231,206469.12307692308,306667.0,94246.0
37i9dQZF1DXcri9DYXMHXf,18856,50,27.4,229529.76,360627.0,142000.0
37i9dQZF1DWVIzZt2GAU4X,895497,72,46.80555555555556,228515.83333333334,340707.0,137653.0
37i9dQZF1DX0OEZC3cbQmU,739643,50,51.72,309261.62,447920.0,215796.0
37i9dQZF1DWUSyphfcc6aL,290162,50,56.2,201903.88,304498.0,136406.0
37i9dQZF1DX65py6HnnlE1,129818,50,41.76,258632.16,360720.0,160573.0
37i9dQZF1DXdeMORbC1XNa,185363,82,50.30487804878049,192484.3536585366,260000.0,100551.0
37i9dQZF1DX2pMTxXPfGmo,128841,60,48.35,263702.6,368320.0,155453.0
4tHeFsal2dH1U86pwrvckN,60432,100,32.02,191227.94,315300.0,121725.0
37i9dQZF1DX9qkL85stcHs,144853,53,39.0,269483.7924528302,420840.0,190467.0
37i9dQZF1DX1nB5w0GKFMi,98287,61,55.01639344262295,228612.131147541,343150.0,80467.0
37i9dQZF1DX3sNH1cCGwYU,126864,100,42.09,205701.54,456693.0,145771.0
37i9dQZF1DWWPcvnOpPG3x,162784,95,47.31578947368421,240560.71578947367,372707.0,78200.0
37i9dQZF1DWYoYGBbGKurt,119556,119,44.87394957983193,136174.58823529413,286221.0,63697.0
37i9dQZF1DXby8tlLbzqaH,53335,53,53.20754716981132,179427.3962264151,280000.0,104516.0
37i9dQZF1DZ06evO0Tiwvu,54894,31,62.41935483870968,223048.61290322582,280235.0,122987.0
37i9dQZF1DXauOWFg72pbl,194451,84,48.833333333333336,230819.5357142857,347667.0,121880.0
37i9dQZF1DWZ8wKkpiPwjx,547524,59,50.52542372881356,209828.42372881356,337308.0,121630.0
37i9dQZF1DX8f6VxHEcGCN,196315,77,44.701298701298704,297932.97402597405,681400.0,107227.0
37i9dQZF1DXdWsYhkNdoHb,95603,62,13.5,224380.16129032258,331347.0,99813.0
37i9dQZF1DWW3mVKqVYIFi,166799,50,65.06,231666.2,569260.0,150375.0
3FXA8mVemK2CpjumcyQBqP,16872,84,53.666666666666664,205963.45238095237,324632.0,127619.0
37i9dQZF1DZ06evO0ADFKM,41030,48,50.208333333333336,224568.95833333334,302133.0,153200.0
37i9dQZF1DX8a1tdzq5tbM,418689,50,35.86,233112.48,434853.0,151983.0
37i9dQZF1DWZnzwzLBft6A,265177,50,35.06,310737.96,840387.0,46040.0
37i9dQZF1DWViBxWcYEI1b,198289,95,58.578947368421055,211600.73684210525,317293.0,146173.0
37i9dQZF1DX3gydB0EUTke,59248,74,41.83783783783784,302080.64864864864,527650.0,27382.0
0Zarq4BVkFkZOWkmqsfrjA,47259,50,44.12,256484.7,413023.0,154849.0
37i9dQZF1DX12YIlzNkccL,247562,50,29.22,514145.9,1265280.0,136173.0
3nu3DLRYoUs3cgQB45kwo5,141450,78,48.67948717948718,176541.34615384616,328893.0,10760.0
37i9dQZF1DWUofaLqF9wFC,53905,33,54.81818181818182,225645.72727272726,293640.0,176947.0
37i9dQZF1DZ06evO39qAJG,79429,37,57.37837837837838,259974.1081081081,366880.0,165747.0
37i9dQZF1DWSg3zkewD8tv,86563,50,45.28,231858.54,308747.0,145067.0
37i9dQZF1DX145sjc3bWnL,66146,25,72.52,214913.64,354947.0,25187.0
4nNVfQ9eWidZXkBKZN5li4,152486,119,31.840336134453782,237548.66386554623,398799.0,4069.0
5SqR3iQ1rvzjjB8vEPlF8d,56445,103,46.41747572815534,231257.6504854369,360720.0,163680.0
37i9dQZF1DX74e3SXPMml8,144828,41,59.02439024390244,204510.17073170733,263960.0,164205.0
37i9dQZF1DXaSQZr9c1SpZ,101914,32,47.84375,270884.5625,458403.0,132000.0
37i9dQZF1DZ06evO0RCiYg,91848,46,50.82608695652174,260765.97826086957,406840.0,174907.0
37i9dQZF1DX8uXskvQ4xo7,24769,50,36.74,295954.1,435627.0,124027.0
6dm9jZ2p8iGGTLre7nY4hf,522755,92,62.41304347826087,220267.48913043478,288333.0,167613.0
37i9dQZF1DXcFk5r8uS3l2,276943,60,38.93333333333333,242190.55,392800.0,138265.0
0y2wNzIKsLYPEeATga4uwh,81446,92,68.72826086956522,221329.94565217392,417920.0,127040.0
37i9dQZF1DWYDggjMTy6Mi,92644,42,48.5,249511.7619047619,311467.0,192253.0
37i9dQZF1DX0A8zVl7p82B,1294922,90,57.78888888888889,201921.56666666668,303627.0,116267.0
37i9dQZF1DX1lVhptIYRda,5174873,52,63.73076923076923,198776.76923076922,288573.0,157422.0
37i9dQZF1DWTkxQvqMy4WW,1453927,54,52.629629629629626,206252.5185185185,335267.0,160991.0
37i9dQZF1DWWEJlAGA9gs0,1173462,101,37.584158415841586,486416.61386138614,3391040.0,100347.0
37i9dQZF1DWULEW2RfoSCi,419720,35,31.942857142857143,247353.37142857144,449600.0,123333.0
37i9dQZF1DX8yLfjPY8emY,325549,50,36.26,216002.18,312443.0,155539.0
37i9dQZF1DWTmGGCbcoQhY,515462,50,50.74,233474.6,354520.0,167267.0
37i9dQZF1DWZv6UE8BMPO0,28131,38,51.86842105263158,196132.2894736842,304373.0,121124.0
37i9dQZF1DWWvHBEQLnV1N,780879,40,55.5,196123.225,272394.0,119787.0
37i9dQZF1DX7pYJHz6u9GC,27203,50,46.1,182862.06,339973.0,69440.0
37i9dQZF1DWV1Nj8a6volf,321484,100,63.28,227498.87,482830.0,121160.0
37i9dQZF1DWTyoMAw2LUFJ,365,6,62.833333333333336,208962.16666666666,246267.0,159011.0
37i9dQZF1DWWH0izG4erma,166879,50,45.28,223204.84,387808.0,158685.0
37i9dQZF1DWViKwLyOBsJF,7582,48,46.125,170314.39583333334,288213.0,55800.0
37i9dQZF1DWVtgG63SDdt8,71913,86,18.86046511627907,248288.8488372093,1330867.0,111037.0
37i9dQZF1DX90FTCA1gopM,63815,68,18.08823529411765,217111.10294117648,301013.0,89187.0
37i9dQZF1DWWTuLtC3XxmA,19050,113,36.48672566371681,219961.93805309734,372133.0,44000.0
37i9dQZF1DWVqfgj8NZEp1,1739945,110,48.554545454545455,344246.38181818184,1004627.0,66762.0
37i9dQZF1DWYkhtBCgz0wV,30041,74,47.810810810810814,227118.3918918919,297947.0,157360.0
37i9dQZF1DXb7KOnsvmh8V,112431,48,57.75,175175.625,269960.0,95760.0
37i9dQZF1DXa9xHlDa5fc6,212553,129,37.674418604651166,229435.87596899224,362493.0,127920.0
37i9dQZF1DX21bRPJuEN7r,169525,30,4.466666666666667,441713.5,1455960.0,113333.0
37i9dQZF1DWY7IeIP1cdjF,8819649,50,77.48,214916.06,417920.0,129040.0
37i9dQZF1DXaGCh33lYU9t,245401,50,50.7,201852.38,321413.0,69440.0
74sUjcvpGfdOvCHvgzNEDO,804537,150,54.78,137034.51333333334,279612.0,50509.0
37i9dQZF1DX8SfyqmSFDwe,1040284,52,50.78846153846154,219324.9423076923,305280.0,113868.0
5l6rFyXN63iINVsbaBObag,731215,165,55.60606060606061,188006.07272727272,304400.0,84733.0
37i9dQZF1DX8CTD7HWYPDn,920023,50,60.54,228312.82,354520.0,147680.0
37i9dQZF1DWU2LcZVHsTdv,150364,53,37.094339622641506,228885.83018867925,382400.0,171027.0
37i9dQZF1DWXT8uSSn6PRy,550759,60,76.71666666666667,200536.71666666667,304498.0,135739.0
